LaRegion,LA,urban,Population2007,Population2008,Population2009,CINrAtMarch31St2009,CINrDuring2009,CINrReferrals2007,CINrReferrals2008,CINrReferrals2009,CINrPriorReferral2007,CINrPriorReferral2008,CINrPriorReferral2009,CINrAssessmentInitial7Days2007,CINrAssessmentInitial7Days2008,CINrAssessmentInitial10Days2009,CINrAssessmentCore35Days2007,CINrAssessmentCore35Days2008,CINrAssessmentCore35Days2009,CINrCPPWithPriorCPP2007,CINrCPPWithPriorCPP2008,CINrCPPWithPriorCPP2009,WFrVacancyRate2010,WFrTurnoverRate2010,WFrAgencyWorkerRate2010,IMDScore
South East,West Berkshire,3,34761,35070,35129,222.3,550.5,352.4,315.1,402.5,20.4,22.6,13.3,55.9,66.4,79.5,56.5,71.1,74.9,14.3,11.8,21.9, , , ,9.98
South East,Reading,4,30504,31244,31923,448.6,907.5,654,901,760,25.8,37.5,14.7,57.2,67.4,68.7,53.9,82.8,63.3,18.2,18.8,13.5, , , ,20.59
South East,Slough,4,32346,33511,34619,335.1,679.7,817.7,1132.5,978.1,10.4,17.7,16.8,78.6,73.1,80.8,89.5,74.2,83.9,10.5,11.4,12.7, , , ,24.16
South East,Windsor and Maidenhead,4,31413,31424,31625,253.3,533.4,251.5,272.1,344.3,17.1,13.5,6.6,68.1,60,78.8,83.3,83.5,80,16.7,15,9.1, , , ,8.82
South East,Wokingham,4,34361,34504,34913,159.8,364,248.8,324.6,324.5,28.7,25.4,11.1,51.4,50,93,69.6,62.9,75.4, ,0,17.3, , , ,5.45
South East,Milton Keynes,4,56206,57453,58744,232.7,463.7,384.3,552.6,625.3,9.3,27.7,16.7,84.8,77.8,89.2,72.1,85,83.6,18.2, , ,9.1,10,0,15.59
South East,Brighton and Hove,4,48414,49175,49556,585.6,763.4,630,671.1,466.7,16.6,17.3,0,88.5,89.9,68.2,87.4,81.7,74.5,18.6,14.8,13.4, , , ,26
South East,Portsmouth,4,39661,40277,40916,537,955.4,494.2,449.4,606.4,22.4,19.9,13.4,92.2,74.4,77.5,83.6,82.8,85.6,16.7,13,21.5,0,0,0,25.41
South East,Southampton,4,42826,43627,44653,459.3,1137.2,392.3,591.4,696.3,11.3,13,11,60.7,55.7,35.7,67.8,78.2,30.1,13.6,16.7,8.4, , , ,24.98
South East,Isle of Wight,1,27142,26947,26465,273.2,634,372.1,296.9,326.8,25.7,18.8,10.6,73.1,62.6,75.6,82.5,46.7,74.7,26.1,20.7,12.5, , , ,20.73
North East,Durham,2,101814,101739,100773,284.7,592.7,611.4,513.6,627.4,24.2,24.6, ,80.3,73.7,83.8,85.4,88,84.2,9.1,17.4,19, , , ,26.41
North East,Northumberland,2,63232,62861,62091,525.4,1099.2,588.3,657,704.3,11.4,25.3,11.3,86.9,76.9,82.8,89.6,83.5,71,13.2,4.5,13.9,0,7.7,0,20.21
